UC_SEQ,MAIN_TITLE,GUGUN_NM,LAT,LNG,PLACE,TITLE,SUBTITLE,ADDR1,ADDR2,CNTCT_TEL,HOMEPAGE_URL,USAGE_DAY_WEEK_AND_TIME,RPRSNTV_MENU,MAIN_IMG_NORMAL,MAIN_IMG_THUMB,ITEMCNTNTS
70,만드리곤드레밥,강서구,35.177387,128.95245,만드리곤드레밥,만드리곤드레밥,,강서구 공항앞길 85번길 13,,051-941-3669,,"10:00-20:00
(19:50 라스트오더)","돌솥곤드레정식, 단호박오리훈제",https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_thumbL,"곤드레밥에는 일반적으로 건조 곤드레나물이 사용되는데,
이곳은 생 곤드레나물을 사용하여 돌솥밥을 만든다.
된장찌개와 함께 열 가지가 넘는 반찬이 제공되는 돌솥곤드레정식이 인기있다
"
77,민물가든,강서구,35.16055,128.89468,민물가든,민물가든,민물가든,강서구 둔치중앙길5(봉림동) ,,051-971-8428,https://blog.naver.com/rladba1,"24.03.12 ~ 24. 12.31 휴업중
11:00a.m. ~ 21:00p.m.
(break time 15:00~17:00)","묵은지붕어조림, 붕어찜",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_thumbL,"30년간 운영해온 생선찜전문점으로, 전통방식인 나무통을 사용하여 조리하는 것이 특징이다. 20가지 이상의 재료로 만든 양념을 사용하는 이 곳은 묵은지 붕어조림과 붕어찜이 대표메뉴이다.

"
94,가야할매밀면,연제구,35.185196,129.07988,가야할매밀면,가야할매밀면,가야할매밀면,"부산 연제구 월드컵대로 145번길 32
",,051-865-8017,,11:00-20:00 ,"물 밀면, 비빔밀면
",https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_thumbL,"유명한 밀면전문점으로, 밀가루에 옥수수 전분을 섞어, 다른 밀면전문점들보다 더 탄력있는 면이 특징이다. 육수는 돼지뼈와 소뼈에 각종 야채와 여러 한약재를 섞어 만들고, 사이드 메뉴인 만두도 인기 있다.
"
95,국제밀면본점,연제구,35.19689,129.07785,국제밀면본점,국제밀면본점,,연제구 중앙대로1235번길 23-6 ,,051-501-5507,,"10:00-20:00 (라스트오더 19:30)
5~8월 10:00-21:00 (라스트오더 20:30 전후)","물밀면 ￦9,000
비빔밀면 ￦9,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240418134454110_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418134454110_thumbL,"밀면전문점 중에서도 특히 맛으로 소문난 이곳은
소 사골만을 사용한 육수 등 독창적인 방식의 밀면을 만들고 있다. 
보통 기계로 잘려진 편육이 고명으로 올려지는데, 이곳은 손으로 일일이 얇게 찢은 
양지머리 고기가 올려지는 것이 특징이다.
"
102,할매가야밀면,중구,35.098934,129.03122,할매가야밀면,할매가야밀면,,중구 광복로 56-14,,051-246-3314,,10:30-21:30,"밀면, 비빔밀면",https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_thumbL,"깔끔한 맛의 육수가 인상적인 40년 전통의 밀면 전문점으로, 
식사시간에는 항상 긴 줄이 늘어서 있지만 140석을 갖춘 넓은 매장으로 인해 
웨이팅 시간은 짧은 편. 항상 청결하게 관리되고 있는 기분 좋은 식당이다.
"
103,거인통닭,중구,35.102345,129.02612,거인통닭,거인통닭,,중구 중구로47번길34,,051-246-6079,,"11:30-20:00
13:30-14:30 브레이크 타임",후라이드치킨,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419092440105_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419092440105_thumbL,"3대에 걸쳐 약 60여 년을 운영 중인 유명한 식당으로, 프라이드치킨 단 하나의 메뉴만을 고수하고 있는 이곳은 가장 맛있는 치킨을 이야기할 때 항상 거론되는 곳이다.
"
118,부산꼼장어맛집 성일집,중구,35.099426,129.03749,부산꼼장어맛집 성일집,부산꼼장어맛집 성일집,,중구 대교로 103,,0507-1345-5890,http://www.ggom.co.kr/,"11:00-23:00
(22:00 라스트오더)","소금구이, 양념구이",https://www.visitbusan.net/uploadImgs/files/cntnts/20240419100256721_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419100256721_thumbL,"1950년부터 3대에 걸쳐 74년째 운영 중인 곳으로 가장 유명한 곰장어전문점 중 한 곳이다. 싱싱하게 살아있는 국내산 곰장어와 23가지의 한약재를 사용한 특별한 양념을 사용한다.
"
130,배비장보쌈구서본점,금정구,35.245174,129.09143,배비장보쌈,배비장보쌈구서본점,,금정구 금정로 239,,051-515-2106,,11:00-22:00,"배비장보쌈, 모듬보쌈",https://www.visitbusan.net/uploadImgs/files/cntnts/20230608145054469_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608145054469_thumbL,"30여 년 운영해 온 부산에서 유명한 보쌈 식당 중 하나로, 
보쌈김치와 무채를 매일 직접 담근다.
반찬으로 나오는 계란찜도 인기 있는 이곳은 손님을 대접하기에도 좋은 장소다.
"
138,장수장 꼬리곰탕,북구,35.19576,128.99043,장수장 꼬리곰탕,장수장 꼬리곰탕,,북구 사상로 577,,051-303-7096,,10:30-20:30 (20:00 라스트오더),"꼬리곰탕, 한우 도가니탕",https://www.visitbusan.net/uploadImgs/files/cntnts/20230607170754019_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607170754019_thumbL,"1983년에 개업하여 40여 년을 운영해온 곳으로, 김치와 젓갈은 직접 만들어 항아리에서 숙성시킨다.
뼈와 도가니는 한우, 꼬리는 호주산으로 엄선된 재료를 사용하며 변하지 않는 꾸준한 맛으로
인기 높은 곳이다.
"
146,금수복국 해운대본점,해운대구,35.16243,129.1645,금수복국,금수복국 해운대본점,,해운대구 중동1로 43번길23,,051-742-3600,,24시간,"은복국(지리 / 탕) ￦15,000 / 16,000
밀복국(지리 / 탕) ￦20,000 / 21,000",https://www.visitbusan.net/uploadImgs/files/cntnts/20240419130448560_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419130448560_thumbL,"복국의 원조라 할 수 있는 50년 전통의 복요리집으로, 신선한 원재료와 정확한 물류 시스템, 모든 장류는 직접 담아 사용하는 것이 맛의 비결이라고 한다.  24시간 영업하는 곳.
"
